DateTime,AddedIPs,RemovedIPs
1648914722,0,1
1648916523,2,0
1648917722,4,1
1648918323,1,0
1648918922,0,1
1648920122,1,0
1648920723,1,0
1648921323,1,0
1648921922,1,0
1648923723,0,2
1648925523,1,0
1648926122,19,0
1648927322,3,3
1648931523,1,0
1648933323,1,3
1648934523,0,1
1648939322,2,0
1648939922,0,1
1648941722,0,2
1648942323,34,42
1648943522,1,0
1648944123,1,1
1648944723,0,1
1648946522,1,0
1648947722,1,1
1648950722,2,0
1648951322,2,0
1648952522,1,0
1648953123,1,0
1648956122,0,1
1648956723,6,0
1648957922,1,0
1648958523,0,1
1648959123,1,0
1648960922,3,0
1648963922,1,0
1648964522,1,1
1648966923,0,1
1648968722,1,0
1648969322,0,1
1648971123,1,0
1648972922,51,0
1648973522,0,1
1648974723,1,2
1648975922,0,56
1648978323,0,2
1648981322,4,0
1648981923,0,1
1648987323,0,1
1648990322,1,0
1648993922,0,1
1648994523,0,2
1648997522,1,0
1649000523,2,0
1649003522,0,1
1649004122,2,0
1649006522,0,2
1649007723,1,1
1649008922,0,2
1649014922,3,0
1649019122,23,0
1649020923,2,0
1649021523,1,0
1649022723,1,0
1649025723,1,0
1649026922,1,2
1649028123,2,0
1649029323,3,0
1649029922,6,1
1649030522,1,3
1649031123,0,2
1649032323,1,54
1649032922,2,0
1649033523,1,0
1649035323,0,1
1649036522,1,0
1649037122,0,1
1649042523,2,0
1649043722,2,0
1649045523,2,0
1649046122,1,0
1649047323,0,1
1649049722,1,0
1649052122,1,0
1649053322,1,1
1649058122,0,1
1649060522,1,0
1649068322,1,0
1649071322,1,0
1649071923,1,0
1649074923,1,0
1649078522,1,0
1649080323,1,0
1649080922,2,0
1649083323,2,1
1649083923,1,0
1649087523,1,0
1649088122,1,0
1649089322,1,1
1649090522,2,1
1649091723,1,0
1649094123,1,0
1649096523,1,0
1649097723,2,0
1649100122,1,0
1649100723,1,0
1649101323,2,0
1649102523,0,1
1649103122,1,0
1649104323,1,0
1649107923,0,1
1649110322,1,0
1649112123,35,1
1649113323,2,1
1649114523,1,0
1649115123,1,0
1649115722,1,0
1649116323,1,0
1649116922,0,3
1649118723,2,2
1649119923,0,1
1649120522,0,4
1649121723,2,0
1649122923,4,3
1649124122,2,0
1649124722,0,1
1649125923,0,1
1649128322,1,0
1649131322,1,0
1649131923,0,2
1649133123,1,0
1649134322,1,5
1649135522,0,3
1649137322,1,0
1649139722,1,0
1649140922,1,0
1649141522,2,1
1649142123,2,0
1649143323,0,2
1649144522,0,1
1649146323,0,4
1649148122,2,1
1649148723,0,1
1649149922,0,1
1649150522,1,0
1649151722,1,54
1649152922,1,1
